H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevSales
AYAKKABI,KADIN,COMFORT,AYAKKABI,BOOTIE,000000000101187110,2022-12-01,7,205,289.9900,349.99,0.213376,0.1660963605171327877,0.0000000000000000000,6
AYAKKABI,KADIN,COMFORT,AYAKKABI,BOOTIE,000000000101187110,2022-12-15,2,173,239.9900,349.99,0.367995,0.3142946941341181177,0.1660963605171327877,5
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DUZ,000000000101187302,2023-01-05,16,218,329.9900,399.99,0.179158,0.1750043751093777345,0.0000000000000000000,12
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DUZ,000000000101187303,2023-01-05,61,770,429.9900,519.99,0.158964,0.1730802515432989096,0.0000000000000000000,80
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT OKCELI,000000000101187370,2022-11-24,10,504,769.0000,1099.00,0.244571,0.2957659136764647704,0.1950301657633421688,7
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT OKCELI,000000000101187370,2022-12-15,16,477,629.0000,1099.00,0.368621,0.4276615104640582348,0.2957659136764647704,12
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MAKOSEN,000000000101183555,2022-11-10,33,1194,349.9900,499.99,0.277325,0.2954972142921119292,0.0000000000000000000,15
AYAKKABI,ERKEK,DRESS,AYAKKABI,INFORMAL BAGCIKLI,000000000101183556,2022-12-15,206,1606,309.9900,379.99,0.175916,0.1842153740887918104,0.0000000000000000000,73
AYAKKABI,KADIN,CASUAL,AYAKKABI,ATHLETIC,000000000101184324,2022-12-01,100,1749,549.9900,649.99,0.147997,0.1538485207464730227,0.0000000000000000000,43
AYAKKABI,KADIN,CASUAL,BOT,CHELSEA BOT,000000000101184354,2023-01-19,77,2433,629.9900,779.99,0.189460,0.1923101578225361864,0.0000000000000000000,55
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000101184358,2023-02-02,35,169,599.9900,729.99,0.205767,0.1780846312963191277,0.0000000000000000000,12
AYAKKABI,KADIN,CASUAL,CIZME,BASIC GUNLUK CIZME,000000000101184372,2023-01-26,7,179,729.9900,899.99,0.526910,0.1888909876776408627,0.0000000000000000000,57
AYAKKABI,KADIN,CASUAL,CIZME,BASIC GUNLUK CIZME,000000000101184374,2023-01-26,28,454,729.9900,899.99,0.186284,0.1888909876776408627,0.0000000000000000000,17
AYAKKABI,KADIN,CASUAL,CIZME,BASIC GUNLUK CIZME,000000000101184381,2023-02-02,503,1548,749.9900,949.99,0.208926,0.2105285318792829399,0.0000000000000000000,82
AYAKKABI,KADIN,CASUAL,BOT,MILITARY BOT,000000000101184389,2023-01-19,52,1624,699.9900,849.99,0.188118,0.1764726643842868740,0.0000000000000000000,71
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000101184430,2022-12-15,32,331,349.9900,499.99,0.284022,0.3000060001200024001,0.0000000000000000000,15
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101192034,2023-02-02,25,525,179.9900,229.99,0.275583,0.2174007565546328102,0.0000000000000000000,36
