H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevSales
AYAKKABI,COCUK,NULL,BOT,ATHLETIC BOT,000000000101191789,2022-12-01,14,240,299.9900,359.99,0.154566,0.1613036956340574678,0.0000000000000000000,6
AYAKKABI,COCUK,NULL,BOT,ATHLETIC BOT,000000000101191789,2023-02-02,12,132,169.9900,359.99,0.545076,0.5277924386788521904,0.1613036956340574678,1
AYAKKABI,COCUK,NULL,BOT,ATHLETIC BOT,000000000101191790,2022-12-01,40,855,269.9900,359.99,0.249300,0.2451761945078184539,0.0000000000000000000,27
AYAKKABI,COCUK,NULL,BOT,ATHLETIC BOT,000000000101191790,2023-01-05,17,640,199.9900,359.99,0.461303,0.4408784905860911596,0.2731334928385691874,22
AYAKKABI,COCUK,NULL,BOT,ATHLETIC BOT,000000000101191794,2023-02-02,9,108,169.9900,359.99,0.651762,0.5277924386788521904,0.1613036956340574678,1
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101191799,2022-12-15,47,419,239.9900,309.99,0.233660,0.2258137359269653860,0.0000000000000000000,41
AYAKKABI,COCUK,NULL,BOT,OUTDOOR HI,000000000101191805,2022-12-15,62,902,299.9900,429.99,0.286246,0.2978388273943681198,0.0000000000000000000,90
AYAKKABI,COCUK,NULL,BOT,WORKER BOT,000000000101191813,2023-01-19,15,865,199.9900,249.99,0.198809,0.1948551855117682969,0.0000000000000000000,183
AYAKKABI,COCUK,NULL,BOT,WORKER BOT,000000000101191813,2023-01-26,37,1001,159.9900,249.99,0.373771,0.3600144005760230410,0.1948551855117682969,15
AYAKKABI,COCUK,NULL,BOT,WORKER BOT,000000000101191814,2023-01-19,41,1640,199.9900,249.99,0.210255,0.1948551855117682969,0.0000000000000000000,294
AYAKKABI,COCUK,NULL,BOT,WORKER BOT,000000000101191814,2023-01-26,84,1573,159.9900,249.99,0.367004,0.3600144005760230410,0.1948551855117682969,41
